Galaxy,FHa (aW/m^2),log(FUV (W)),Distance (Mpc),Distance (m),Misc,,Lum_Ha (W/m^2),SFR_Ha (solmass/yr),Lum_FUV (erg/s),SFR_FUV (solmass/yr),Ratio (FUV/Ha)
NGC 0024,2.73,35.15,8.2,2.53052E+23,,,2.20E+30,1.74E-04,1.41E+42,4.66E-02,268.59
NGC 0925,8.76,36.02,9.3,2.86998E+23,,,9.07E+30,7.16E-04,1.05E+43,3.46E-01,482.41
NGC 1097,19.7,36.3,15,4.629E+23,,,5.30E+31,4.19E-03,2.00E+43,6.58E-01,157.12
NGC 1291,8.7,35.22,9.7,2.99342E+23,Ring,,9.80E+30,7.74E-04,1.66E+42,5.48E-02,70.77
NGC 1512,3,35.58,10,3.086E+23,,,3.59E+30,2.84E-04,3.80E+42,1.25E-01,442.35
NGC 1566,89.6,36.6,17,5.2462E+23,,,3.10E+32,2.45E-02,3.98E+43,1.31E+00,53.66
NGC 2798,218,35.28,27,8.3322E+23,Interacting,,1.90E+33,1.50E-01,1.91E+42,6.29E-02,0.42
NGC 2841,15.9,35.79,14,4.3204E+23,,,3.73E+31,2.95E-03,6.17E+42,2.03E-01,69.06
NGC 3190,5.8,34.46,17,5.2462E+23,,,2.01E+31,1.58E-03,2.88E+41,9.52E-03,6.01
NGC 3198,15.86,36.19,17,5.2462E+23,,,5.49E+31,4.33E-03,1.55E+43,5.11E-01,117.95
NGC 3621,7.58,36.09,8.3,2.56138E+23,,,6.25E+30,4.94E-04,1.23E+43,4.06E-01,822.36
NGC 3627,22.1,35.77,9.1,2.80826E+23,,,2.19E+31,1.73E-03,5.89E+42,1.94E-01,112.31
NGC 4536,80.4,35.97,15,4.629E+23,,,2.16E+32,1.71E-02,9.33E+42,3.08E-01,18.01
NGC 4559,5.31,36.57,17,5.2462E+23,,,1.84E+31,1.45E-03,3.72E+43,1.23E+00,845.07
NGC 4569,116.5,35.61,17,5.2462E+23,,,4.03E+32,3.18E-02,4.07E+42,1.34E-01,4.22
NGC 4625,2.47,35.11,9.5,2.9317E+23,Dwarf,,2.67E+30,2.11E-04,1.29E+42,4.25E-02,201.72
NGC 4736,19,35.63,5.2,1.60472E+23,,,6.15E+30,4.86E-04,4.27E+42,1.41E-01,289.82
NGC 5055,5.4,35.8,8.2,2.53052E+23,,,4.35E+30,3.43E-04,6.31E+42,2.08E-01,606.55
NGC 5713,64.3,35.95,27,8.3322E+23,,,5.61E+32,4.43E-02,8.91E+42,2.94E-01,6.64
NGC 7331,11.9,35.91,15,4.629E+23,,,3.20E+31,2.53E-03,8.13E+42,2.68E-01,105.96
NGC 7793,17.1,35.07,2,6.172E+22,,,8.19E+29,6.47E-05,1.17E+42,3.88E-02,599.56
,,,,,,,,,,,
https://vizier.cds.unistra.fr/viz-bin/VizieR-4,,,,,,,,,,,
https://vizier.cds.unistra.fr/viz-bin/VizieR-4,,,,,,,,,,,
https://arxiv.org/pdf/astro-ph/9807187,,,,,,,,,,,